,hs_name,hs_ceeb,ccd_name,ccd_nces,score
0,manual high school,060420,MANUAL HIGH SCHOOL,080336006328,100.0
1,denver ctr for intl studies,060471,DENVER CENTER FOR INTERNATIONAL STUDIES,080336001917,82.0
2,braden river high school,100083,BRADEN RIVER HIGH SCHOOL,120123005608,100.0
3,lydian academy,054134,,,
4,faith christian academy,060414,,,
5,southwest christian school,442562,,,
6,vista ridge high school,441176,VISTA RIDGE H S,482703009436,79.0
7,saint pauls school for girls,210296,,,
8,saint johns school,443425,,,
9,domestic high school,,,,
10,perry high school,030668,Perry High School,040187002806,100.0
11,mountain range high school,061437,MOUNTAIN RANGE HIGH SCHOOL,080690001996,100.0
12,mead high school,060962,MEAD HIGH SCHOOL,080537006423,100.0
13,minnehaha academy,241625,,,
14,covenant school,470433,,,
15,st margaret's episcopal school,053112,,,
16,prairie view high school,060796,PRAIRIE VIEW HIGH SCHOOL,080258002003,100.0
17,shining mountain waldorf sch,060111,,,
18,vista murrieta high school,,Vista Murrieta High,060002911249,84.0
19,denver online high school,060376,DENVER JUSTICE HIGH SCHOOL,080336006443,82.0
20,eagle rock sch prof dev center,060551,,,
21,arnold o beckman high school,051267,Arnold O. Beckman High,064015010994,84.0
22,casady school,372640,,,
23,gatton academy of math-science,180296,Carol Martin Gatton Academy of Math & Science,210573002441,77.0
24,benjamin school,101239,,,
25,community school,130307,,,
26,west ranch high school,053864,West Ranch High,064251010914,81.0
27,san juan hills high school,054181,San Juan Hills High,060744011854,84.0
28,davidson academy of nevada,290207,The Davidson Academy of Nevada,320002100680,93.0
29,portsmouth abbey school,400130,Portsmouth Middle School,440087000208,81.0
30,palmer ridge high school,061041,PALMER RIDGE HIGH SCHOOL,080582006369,100.0
31,balboa city school,052821,,,
32,ja-hope and summit academy,061459,,,
33,arlington high school,430042,Arlington High,470015202075,80.0
34,provost academy colorado,060721,,,
35,chanhassen high school,240421,CHANHASSEN HIGH SCHOOL,270819004260,100.0
36,coal ridge high school,061069,COAL RIDGE HIGH SCHOOL,080624001906,100.0
37,andrews school,365565,,,
38,ben lipson hillel community hs,101234,,,
39,arkansas sch math & sciences,041148,,,
40,milken cmty hs stephen wise te,051727,,,
41,louis d brandeis high sch,446254,,,
42,christian junior senior hs,052836,,,
43,frontier academy,060717,FRONTIER CHARTER ACADEMY,080441001614,80.0
44,loyola academy,144403,,,
45,archbishop thomas j murphy hs,480391,,,
46,bishop thomas k gorman hs,447117,,,
47,prospect hill academy,221947,Prospect Hill Academy Charter School,250004600819,74.0
48,holy names academy,481100,,,
49,timber creek high school,443752,TIMBER CREEK H S,482526011897,80.0
50,scholars academy,334873,SCHOLARS ACADEMY,360012305831,100.0
51,saint marys school,380655,,,
52,university preparatory academy,481169,,,
53,south elgin high school,143784,South Elgin High School,171371005611,100.0
54,laurel springs school,052256,,,
55,early college academy,320120,,,
56,benilde-st margaret's school,242202,,,
57,animas high school,060493,ANIMAS HIGH SCHOOL,080002006418,100.0
58,denver christian high school,060395,,,
59,castle view high school,060193,CASTLE VIEW HIGH SCHOOL,080345001918,100.0
60,mcquaid jesuit high school,334830,,,
61,vermont academy,460405,,,
62,st andrews episcopal sch,440343,,,
63,vista academy high school,060552,,,
64,paul international high school,090145,Paul PCS - International HS,110003900477,74.0
65,holy family high school,060415,LEGACY HIGH SCHOOL,080690001784,73.0
66,convent of the sacred heart hs,052935,,,
67,windham high school,300634,Windham High School,330717000692,100.0
68,louisville collegiate school,181570,,,
69,saint john bosco high school,050260,,,
70,griffin school,440334,,,
71,interlochen arts academy,232086,,,
72,new haven school,450315,,,
73,fusion academy - san mateo,054595,,,
74,roxbury latin school,220345,,,
75,verrado high school,030029,Verrado High School,040045002592,100.0
76,plainfield east high school,143499,Plainfield East High School,173174006027,100.0
77,edcsd colorado cyber school,060190,,,
78,lincoln-way west hs,143171,Lincoln Way West,172307006062,86.0
79,kipp denver collegiate hs,060492,KIPP DENVER COLLEGIATE HIGH SCHOOL,080336006448,85.0
80,legend high school,061159,LEGEND HIGH SCHOOL,080345006400,100.0
81,collegiate prep academy,060501,COLLEGIATE PREPARATORY ACADEMY,080336006515,87.0
82,muchin college prep,141083,Noble St Chtr-Muchin College Prep,170993006459,73.0
83,bishop denis j oconnell hs,470103,,,
84,lancaster catholic high school,392100,,,
85,nex gen high school,320111,,,
86,denver sch of sci & tech,060604,,,
87,vista ridge high school,060349,VISTA RIDGE HIGH SCHOOL,080387006408,100.0
88,lutheran high school orange co,052269,,,
89,rosary high school,051007,,,
90,holy ghost preparatory school,390870,,,
91,don bosco prep high school,311285,,,
92,baylor school,430275,,,
93,st stephens & st agnes school,470040,,,
94,sacred heart preparatory,051955,,,
95,noble st charter - golder prep,141143,Noble St Chtr-Golder College Prep,170993006439,79.0
96,da vinci sch for science-arts,441866,DAVINCI SCHOOL FOR SCIENCE AND THE ARTS,480003711452,79.0
97,tca college pathways,060241,TCA COLLEGE PATHWAYS,080192006447,100.0
98,blake school,241635,,,
99,rochester lourdes high school,242102,,,
